,date,comment
0,"Aug 1, 2023",Great experience with Cody behind the counter. Knowledgeable quick and efficient. Would come back for sure!
1,"Jun 12, 2023","The security here is wild. Be prepared to be scrutinized and strip off all your bags, and anything that you wouldn't let an obvious criminal have. I'm surprised I didn't have to take my shoelaces out.Back in the day the mission used to be the place to go to find a dispensary. Now if you can go anywhere else, avoid the Mission if you can, and that counts for this place."
2,"Nov 17, 2022","I'm honestly super bummed - I loved coming here! like I've literally come here since it's been open, spent probably thousands of dollars, and my experience today made me not want to come back. This was the first time I ever received a faulty cart from stiiizy. I bought a stiiizy pod and had it for maybe a day, hit it TWICE, and was left with resin burning my lips  and spewing out of the top of the cart (actually something I researched saying that it means it's a faulty cart). I obviously didn't want to hit it anymore and they always say if something is wrong you have 7 days to come back and they will replace it. I waited 2 days & bring the pod back into stiiizy for someone to check it out and Jeff the manager said because it wasn't 1/2 way full there's no way to replace it. I didn't understand that bc I tried to explain to him that the pod was literally leaking into the into my stiiizy battery (pictures attached) and there was no way I could have hit it because it was leaking from both end, and how would the pod have still had more than 1/2 it's content when it was leaking... They didn't replace nor discount my next pod. Anyone experience this?"
3,"Apr 3, 2023",I met Julian on Monday at l y t t in Pacifica. He did a father's job representing this company he has wonderful people's clothes I recommend everyone to go there I was truly delighted. With his outstanding yes please his people style.
4,"Jan 23, 2023","ILL NEVER COME HERE AGAIN!Terrible customer service. I went to pick up indica flower, the cashier gave me 3 options of indica and I picked the one with the highest THC which was 31%. I trusted that they gave me indica because that's what I asked for and thats what was repeated back to me. After I got the weed, I went to run an errand & once I got home to roll up. I seen that on the package it said ""HYBRID"". I don't smoke hybrid. Indica only. I didn't open the package, they also sent the receipt to my email so I didn't check it until I was getting ready to take the package back. I go back to the store to basically switch to a different one, not return but just switch it out. The person at the front desk told me they don't accept returns. The manager also came to me and told me that he doesn't do returns. I'm not understanding why you can't let me switch it out when I'm a loyal customer and come here often. The package was no where near open. What type of shit is that? Definitely won't be coming here ever again."
5,"Apr 5, 2023","Only thing I hate is I always get there right when the doors are closing at 945, but everyone working there is always extremely helpful"
6,"Jun 27, 2020","This place = great experience!!Wow! I walked out of here with a steal! They hit me so many times with great deals. The day I went, flower was 20% off, and first time customers receive 10% offOliver helped me make the best purchase. Ended up with biscotti and bday cake pods, cookies PR, and the bIIItes (which aren't in NV yet and they need to be!!!!) we fell in love with the stiiizy biiites!So anyways I got all of that for around $86 after tax. My jaw dropped too. Stiiizy on Mission has my business every time I come back to SF now. Place is super clean and also only one person allowed at a time due to covid restrictions."
7,"Feb 28, 2023",I bought my stizzy probably a year or two ago and I loved going from cartridges to pods. But In the last month or two EVERY single pod I've bought leaks into my battery. It doesn't matter where I get it from either. Really upsetting that the quality has gone completely downhill
8,"Oct 21, 2020","BELIEVE THE NEGATIVE REVIEWS. DON'T GO HERE UNLESS YOU WANT TO BE YELLED AT. THIS PLACE WILL KILL YOUR VIBE. I totally understand that businesses have different protocols for COVID, but this place makes you feel uncomfortable. The first time I came here a short-haired tatted budtender helped me and she was rude af. You would think workers at a dispensary would be chill, NOT HERE.  Every other dispensary I have ever been to have had nice workers. So here was my experience today...I arrived with my sister (my sister who I live with), and we got our temperature taken. Cool. Next we checked in and the lady at the front said we had to stay six feet apart but get helped by the same budtender. Like I said, businesses can have whatever COVID protocols, but theirs is a little offputting. I was helped by a man that was cool, then my sister decided she didn't want to get anything. She walked up to me and a different worker said we couldn't be next to each other. My sister kindly said ""okay, I just wanted to accompany my sister"", and he rudely said ""WELL THEN YOU GOTTA GO OUTSIDE"". There must be poor management because these workers are WHACK. Save your time and money and go to any other dispensary. It's also cash only... why? It's 2020 and it's more common for dispensaries to take card now. Honestly, I wouldn't mind paying cash if the workers weren't so cold here.The dispensary around the corner looks way more welcoming. I actually tried going there but they were closing and recommended going to this trash place because they opened later. They should just tell people to come back when they're open because STIIIZY is horrible."
9,"Feb 20, 2023",Lotta hella fine selections here at Stiiizy! This place is off the hook! Couldn't even find some of their dank in other dispensaries! I'mma be coming here more in the future to check out what latest dank they got!
